isotop,mass,abundance
H1,1.007825,99.985
H2,2.014,0.015
He3,3.01603,0.00014
He4,4.0026,99.99986
Li6,6.015121,7.5
Li7,7.016003,92.5
Be9,9.012182,100
B10,10.012937,19.8
B11,11.009305,80.2
C12,12,98.9
C13,13.003355,1.1
N14,14.003074,99.63
N15,15.000108,0.37
O16,15.994915,99.762
O17,16.999131,0.038
O18,17.99916,0.2
F19,18.998403,100
Ne20,19.992435,90.51
Ne21,20.993843,0.27
Ne22,21.991383,9.22
Na23,22.989767,100
Mg24,23.985042,78.99
Mg25,24.985837,10
Mg26,25.982593,11.01
Al27,26.98154,100
Si28,27.976927,92.23
Si29,28.976495,4.67
Si30,29.97377,3.1
P31,30.973762,100
S32,31.97207,95.02
S33,32.971456,0.75
S34,33.967866,4.21
S36,35.96708,0.02
Cl35,34.968852,75.77
Cl37,36.965903,24.23
Ar36,35.967545,0.337
Ar38,37.962732,0.063
Ar40,39.962384,99.6
K39,38.963707,93.2581
K40,39.963999,0.0117
K41,40.961825,6.7302
Ca40,39.962591,96.941
Ca42,41.958618,0.647
Ca43,42.958766,0.135
Ca44,43.95548,2.086
Ca46,45.953689,0.004
Ca48,47.952533,0.187
Sc45,44.95591,100
Ti46,45.952629,8
Ti47,46.951764,7.3
Ti48,47.947947,73.8
Ti49,48.947871,5.5
Ti50,49.944792,5.4
V50,49.947161,0.25
V51,50.943962,99.75
Cr50,49.946046,4.35
Cr52,51.940509,83.79
Cr53,52.940651,9.5
Cr54,53.938882,2.36
Mn55,54.938047,100
Fe54,53.939612,5.8
Fe56,55.934939,91.72
Fe57,56.935396,2.2
Fe58,57.933277,0.28
Co59,58.933198,100
Ni58,57.935346,68.27
Ni60,59.930788,26.1
Ni61,60.931058,1.13
Ni62,61.928346,3.59
Ni64,63.927968,0.91
Cu63,62.939598,69.17
Cu65,64.927793,30.83
Zn64,63.929145,48.6
Zn66,65.926034,27.9
Zn67,66.927129,4.1
Zn68,67.924846,18.8
Zn70,69.925325,0.6
Ga69,68.92558,60.1
Ga71,70.9247,39.9
Ge70,69.92425,20.5
Ge72,71.922079,27.4
Ge73,72.923463,7.8
Ge74,73.921177,36.5
Ge76,75.921401,7.8
As75,74.921594,100
Se74,73.922475,0.9
Se76,75.919212,9
Se77,76.919912,7.6
Se78,77.917304,23.5
Se80,79.91652,49.6
Se82,81.916698,9.4
Br79,78.918336,50.69
Br81,80.916289,49.31
Kr78,77.920397,0.35
Kr80,79.91638,2.25
Kr82,81.913482,11.6
Kr83,82.914135,11.5
Kr84,83.911507,57
Kr86,85.910616,17.3
Rb85,84.911794,72.17
Rb87,86.909187,27.83
Sr84,83.91343,0.56
Sr86,85.909267,9.86
Sr87,86.908884,7
Sr88,87.905619,82.58
Y89,88.905849,100
Zr90,89.904703,51.45
Zr91,90.905644,11.27
Zr92,91.905039,17.17
Zr94,93.906314,17.33
Zr96,95.908275,2.78
Nb93,92.906377,100
Mo92,91.906088,14.84
Mo94,93.905085,9.25
Mo95,94.90584,15.92
Mo96,95.904678,16.68
Mo97,96.90602,9.55
Mo98,97.905406,24.13
Mo100,99.907477,9.63
Tc,-,-
Ru96,95.907599,5.52
Ru98,97.905287,1.88
Ru99,98.905939,12.7
Ru100,99.904219,12.6
Ru101,100.905582,17
Ru102,101.904348,31.6
Ru104,103.905424,18.7
Rh103,102.9055,100
Pd102,101.905634,1.02
Pd104,103.904029,11.14
Pd105,104.905079,22.33
Pd106,105.903478,27.33
Pd108,107.903895,26.46
Pd110,109.905167,11.72
Ag107,106.905092,51.84
Ag109,108.904757,48.16
Cd106,105.906461,1.25
Cd108,107.904176,0.89
Cd110,109.903005,12.49
Cd111,110.904182,12.8
Cd112,111.902758,24.13
Cd113,112.9044,12.22
Cd114,113.903357,28.73
Cd116,115.904754,7.49
In113,112.904061,4.3
In115,114.90388,95.7
Sn112,111.904826,1
Sn114,113.902784,0.7
Sn115,114.903348,0.4
Sn116,115.901747,14.7
Sn117,116.902956,7.7
Sn118,117.901609,24.3
Sn119,118.90331,8.6
Sn120,119.9022,32.4
Sn122,121.90344,4.6
Sn124,123.905274,5.66
Sb121,120.903821,57.3
Sb123,122.904216,42.7
Te120,119.904048,0.096
Te122,121.903054,2.6
Te123,122.904271,0.908
Te124,123.902823,4.816
Te125,124.904433,7.14
Te126,125.903314,18.95
Te128,127.904463,31.69
Te130,129.906229,33.8
I127,126.904473,100
Xe124,123.905894,0.1
Xe126,125.904281,0.09
Xe128,127.903531,1.91
Xe129,128.90478,26.4
Xe130,129.903509,4.1
Xe131,130.905072,21.2
Xe132,131.904144,26.9
Xe134,133.905395,10.4
Xe136,135.907214,8.9
Cs133,132.905429,100
Ba130,129.906282,0.106
Ba132,131.905042,0.101
Ba134,133.904486,2.417
Ba135,134.905665,6.592
Ba136,135.904553,7.854
Ba137,136.905812,11.23
Ba138,137.905232,71.7
La138,137.907105,0.09
La139,138.906346,99.91
Ce136,135.90714,0.19
Ce138,137.905985,0.25
Ce140,139.905433,88.48
Ce142,141.909241,11.08
Pr141,140.907647,100
Nd142,141.907719,27.13
Nd143,142.90981,12.18
Nd144,143.910083,23.8
Nd145,144.91257,8.3
Nd146,145.913113,17.19
Nd148,147.916889,5.76
Nd150,149.920887,5.64
Pm,-,-
Sm144,143.911998,3.1
Sm147,146.914895,15
Sm148,147.91482,11.3
Sm149,148.917181,13.8
Sm150,149.917273,7.4
Sm152,151.919729,26.7
Sm154,153.922206,22.7
Eu151,150.919847,47.8
Eu153,152.921225,52.2
Gd152,151.919786,0.2
Gd154,153.920861,2.18
Gd155,154.922618,14.8
Gd156,155.922118,20.47
Gd157,156.923956,15.65
Gd158,157.924099,24.84
Gd160,159.927049,21.86
Tb159,158.925342,100
Dy156,155.925277,0.06
Dy158,157.924403,0.1
Dy160,159.925193,2.34
Dy161,160.92693,18.9
Dy162,161.926795,25.5
Dy163,162.928728,24.9
Dy164,163.929171,28.2
Ho165,164.930319,100
Er162,161.928775,0.14
Er164,163.929198,1.61
Er166,165.93029,33.6
Er167,166.932046,22.95
Er168,167.932368,26.8
Er170,169.935461,14.9
Tm169,168.934212,100
Yb168,167.933894,0.13
Yb170,169.934759,3.05
Yb171,170.936323,14.3
Yb172,171.936378,21.9
Yb173,172.938208,16.12
Yb174,173.938859,31.8
Yb176,175.942564,12.7
Lu175,174.94077,97.41
Lu176,175.942679,2.59
Hf174,173.940044,0.16
Hf176,175.941406,5.2
Hf177,176.943217,18.6
Hf178,177.943696,27.1
Hf179,178.945812,13.74
Hf180,179.946545,35.2
Ta180,179.947462,0.012
Ta181,180.947992,99.988
W180,179.946701,0.13
W182,181.948202,26.3
W183,182.95022,14.3
W184,183.950928,30.67
W186,185.954357,28.6
Re185,184.952951,37.4
Re187,186.955744,62.6
Os184,183.952488,0.02
Os186,185.95383,1.58
Os187,186.955741,1.6
Os188,187.95586,13.3
Os189,188.958137,16.1
Os190,189.958436,26.4
Os192,191.961467,41
Ir191,190.960584,37.3
Ir193,192.962917,62.7
Pt190,189.959917,0.01
Pt192,191.961019,0.79
Pt194,193.962655,32.9
Pt195,194.964766,33.8
Pt196,195.964926,25.3
Pt198,197.967869,7.2
Au197,196.966543,100
Hg196,195.965807,0.15
Hg198,197.966743,10.1
Hg199,198.968254,17
Hg200,199.9683,23.1
Hg201,200.970277,13.2
Hg202,201.970617,29.65
Hg204,203.973467,6.8
Tl203,202.97232,29.524
Tl205,204.974401,70.476
Pb204,203.97302,1.4
Pb206,205.97444,24.1
Pb207,206.975872,22.1
Pb208,207.976627,52.4
Bi209,208.980374,100
Po,-,-
At,-,-
Rn,-,-
Fr,-,-
Ra,-,-
Ac,-,-
Th232,232.038054,100
Pa,-,-
U234,234.040946,0.0055
U235,235.043924,0.72
U238,238.050784,99.2745
